order_detail_id,transaction_status,created_at,modified_at,payment_date,estimated_delivery_date,receive_date,comment, shippng_fee ,tax_rate,user_id,payment_method_id
14,Failed,5/4/2018 18:30:50,4/16/2022 16:05:51,12/21/2017 2:28:14,12/24/2017 2:28:14,12/26/2017 2:28:14,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi., $ 15.00 ,15%,3741,780
15,Failed,12/12/2017 13:41:07,1/4/2018 20:40:19,4/9/2022 17:40:34,4/12/2022 17:40:34,4/14/2022 17:40:34,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.", $ 17.00 ,15%,5441,4905
16,Ongoing,6/21/2022 12:10:26,10/26/2018 2:55:33,2/11/2016 23:03:28,2/14/2016 23:03:28,2/16/2016 23:03:28,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.", $ 28.00 ,15%,1820,1915
17,Ongoing,2/13/2016 1:26:42,4/21/2020 20:48:20,9/14/2021 11:55:54,9/17/2021 11:55:54,9/19/2021 11:55:54,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus., $ 37.00 ,10%,526,2046
18,Ongoing,1/20/2022 18:30:59,8/12/2020 19:09:20,7/21/2021 1:30:11,7/24/2021 1:30:11,7/26/2021 1:30:11,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.
Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.", $ 38.00 ,7%,4010,3447
19,Completed,8/16/2017 23:37:37,1/30/2020 2:49:33,5/3/2022 10:25:42,5/6/2022 10:25:42,5/8/2022 10:25:42,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.
Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.", $ 38.00 ,7%,3470,1564
20,Ongoing,11/12/2017 8:20:39,8/27/2017 15:23:29,2/24/2021 19:20:10,2/27/2021 19:20:10,3/1/2021 19:20:10,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.
Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.", $ 49.00 ,10%,6646,5427
21,Completed,1/28/2017 5:56:36,9/8/2021 17:29:57,5/16/2016 9:17:31,5/19/2016 9:17:31,5/21/2016 9:17:31,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.", $ 40.00 ,10%,8088,1348
22,Ongoing,4/30/2016 6:38:58,7/28/2021 13:49:44,4/29/2022 5:38:51,5/2/2022 5:38:51,5/4/2022 5:38:51,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
Sed ante. Vivamus tortor. Duis mattis egestas metus.", $ 33.00 ,10%,4565,4418
23,Failed,9/27/2022 16:38:26,10/15/2021 12:57:55,12/15/2019 8:36:55,12/18/2019 8:36:55,12/20/2019 8:36:55,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.", $ 28.00 ,7%,9532,3035
24,Failed,4/15/2021 16:44:43,11/2/2018 18:05:18,9/26/2016 6:29:25,9/29/2016 6:29:25,10/1/2016 6:29:25,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus., $ 25.00 ,7%,7875,2952
25,Ongoing,12/16/2022 11:06:52,6/13/2016 13:26:12,11/13/2022 22:47:12,11/16/2022 22:47:12,11/18/2022 22:47:12,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.
Phasellus in felis. Donec semper sapien a libero. Nam dui.", $ 26.00 ,7%,1729,1709
26,Ongoing,10/10/2019 18:04:34,6/3/2020 14:05:08,10/1/2016 13:06:40,10/4/2016 13:06:40,10/6/2016 13:06:40,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.
Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.
Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.", $ 34.00 ,10%,239,5901
27,Completed,3/29/2022 19:04:37,3/26/2019 10:43:16,9/3/2016 10:50:16,9/6/2016 10:50:16,9/8/2016 10:50:16,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.
In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.", $ 45.00 ,10%,7542,5259
28,Completed,7/8/2022 14:30:26,6/15/2016 15:20:35,4/29/2022 3:55:10,5/2/2022 3:55:10,5/4/2022 3:55:10,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
Sed ante. Vivamus tortor. Duis mattis egestas metus.", $ 35.00 ,10%,6250,5700
29,Ongoing,6/19/2019 15:30:31,10/20/2018 8:24:47,9/18/2022 3:30:14,9/21/2022 3:30:14,9/23/2022 3:30:14,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.", $ 29.00 ,10%,3989,5163
30,Failed,6/8/2018 12:46:06,5/7/2017 8:42:07,9/15/2022 21:51:40,9/18/2022 21:51:40,9/20/2022 21:51:40,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.
Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.", $ 10.00 ,15%,8517,4163
31,Ongoing,6/28/2019 1:46:36,4/25/2016 8:41:18,4/3/2022 9:03:54,4/6/2022 9:03:54,4/8/2022 9:03:54,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.", $ 39.00 ,7%,7241,4056
32,Ongoing,5/5/2019 10:20:55,6/4/2021 1:26:27,1/7/2020 14:23:06,1/10/2020 14:23:06,1/12/2020 14:23:06,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.", $ 43.00 ,10%,5278,2377
33,Ongoing,2/19/2017 0:46:49,7/16/2018 15:01:21,10/7/2021 17:08:20,10/10/2021 17:08:20,10/12/2021 17:08:20,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.
Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.", $ 20.00 ,7%,8725,2897
34,Ongoing,8/28/2022 21:40:20,12/26/2016 12:10:17,9/3/2021 11:17:14,9/6/2021 11:17:14,9/8/2021 11:17:14,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.
Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
Sed ante. Vivamus tortor. Duis mattis egestas metus.", $ 17.00 ,15%,1283,3889
35,Ongoing,4/24/2020 17:59:24,7/2/2018 2:02:56,2/3/2019 3:55:08,2/6/2019 3:55:08,2/8/2019 3:55:08,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.
Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.
Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.", $ 37.00 ,7%,6385,1590
36,Failed,10/15/2022 4:10:27,5/27/2016 14:03:44,2/29/2020 8:08:10,3/3/2020 8:08:10,3/5/2020 8:08:10,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.
Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.
Fusce consequat. Nulla nisl. Nunc nisl.", $ 24.00 ,15%,2987,6512
37,Ongoing,9/28/2019 23:39:20,2/10/2018 12:32:36,12/19/2022 10:39:17,12/22/2022 10:39:17,12/24/2022 10:39:17,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.
Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.", $ 25.00 ,7%,2152,6796
38,Failed,7/22/2021 17:46:17,8/11/2016 21:32:03,8/21/2022 5:58:19,8/24/2022 5:58:19,8/26/2022 5:58:19,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.
Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.", $ 43.00 ,7%,1215,580
39,Failed,8/1/2017 0:37:26,1/26/2016 15:33:40,3/9/2021 17:54:42,3/12/2021 17:54:42,3/14/2021 17:54:42,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.", $ 18.00 ,15%,5014,1873
40,Ongoing,10/1/2017 1:11:04,2/17/2020 4:03:56,5/21/2019 16:37:54,5/24/2019 16:37:54,5/26/2019 16:37:54,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.", $ 11.00 ,10%,2767,4349
41,Failed,12/2/2018 0:35:50,12/20/2018 0:27:44,5/16/2018 21:41:29,5/19/2018 21:41:29,5/21/2018 21:41:29,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.", $ 17.00 ,10%,7459,892
42,Failed,9/14/2020 13:18:56,6/25/2021 19:35:57,2/5/2020 11:32:03,2/8/2020 11:32:03,2/10/2020 11:32:03,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum., $ 50.00 ,10%,7260,288
43,Ongoing,11/2/2017 1:30:52,6/5/2016 7:54:59,2/11/2021 3:58:49,2/14/2021 3:58:49,2/16/2021 3:58:49,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.", $ 17.00 ,7%,3698,665
44,Failed,7/18/2022 9:05:46,8/20/2019 9:34:41,6/30/2022 6:22:10,7/3/2022 6:22:10,7/5/2022 6:22:10,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus., $ 22.00 ,10%,7018,6814
45,Failed,8/23/2018 3:45:55,9/7/2016 19:10:16,12/21/2017 7:02:10,12/24/2017 7:02:10,12/26/2017 7:02:10,In congue. Etiam justo. Etiam pretium iaculis justo., $ 21.00 ,10%,9945,5390
46,Ongoing,5/29/2019 18:07:54,10/26/2020 17:47:26,10/1/2017 0:31:45,10/4/2017 0:31:45,10/6/2017 0:31:45,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.
Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.", $ 10.00 ,10%,9132,6303
47,Ongoing,5/30/2022 15:06:30,12/6/2016 18:54:45,7/23/2017 12:03:42,7/26/2017 12:03:42,7/28/2017 12:03:42,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi., $ 27.00 ,7%,7884,6820
48,Failed,11/2/2019 13:42:30,11/16/2018 16:34:03,10/16/2019 7:16:41,10/19/2019 7:16:41,10/21/2019 7:16:41,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.", $ 36.00 ,10%,7946,31
49,Failed,11/27/2022 14:34:34,5/14/2022 6:24:53,10/10/2020 3:46:37,10/13/2020 3:46:37,10/15/2020 3:46:37,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.
Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.", $ 45.00 ,15%,1311,2613
50,Ongoing,2/28/2022 0:53:01,12/17/2018 20:32:46,4/29/2016 15:22:18,5/2/2016 15:22:18,5/4/2016 15:22:18,Sed ante. Vivamus tortor. Duis mattis egestas metus., $ 21.00 ,7%,9053,2729
51,Ongoing,8/4/2022 7:02:08,9/25/2019 18:06:46,11/2/2021 1:08:30,11/5/2021 1:08:30,11/7/2021 1:08:30,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
Sed ante. Vivamus tortor. Duis mattis egestas metus.
Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.", $ 40.00 ,15%,6025,6496
52,Completed,7/1/2021 11:59:37,4/11/2018 7:29:20,4/20/2021 23:07:17,4/23/2021 23:07:17,4/25/2021 23:07:17,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.", $ 35.00 ,15%,8313,4265
53,Completed,3/25/2018 1:32:17,10/26/2022 21:46:59,9/8/2022 15:52:53,9/11/2022 15:52:53,9/13/2022 15:52:53,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.", $ 19.00 ,7%,3691,4050
54,Completed,10/10/2017 8:40:33,2/25/2020 11:22:46,1/22/2018 6:28:01,1/25/2018 6:28:01,1/27/2018 6:28:01,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.
Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.
Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.", $ 31.00 ,7%,51,4128
55,Failed,5/3/2019 9:18:34,3/2/2022 22:36:11,12/21/2018 6:07:58,12/24/2018 6:07:58,12/26/2018 6:07:58,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.", $ 29.00 ,15%,53,2765
56,Ongoing,11/6/2018 18:16:12,8/24/2019 15:18:40,5/24/2018 3:29:44,5/27/2018 3:29:44,5/29/2018 3:29:44,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus., $ 29.00 ,10%,1182,4048
57,Failed,6/9/2017 0:39:10,1/4/2016 0:08:02,8/18/2022 22:06:36,8/21/2022 22:06:36,8/23/2022 22:06:36,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst., $ 17.00 ,7%,6260,3832
58,Failed,8/15/2020 5:14:55,6/28/2019 15:09:35,5/1/2016 13:14:50,5/4/2016 13:14:50,5/6/2016 13:14:50,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.
Fusce consequat. Nulla nisl. Nunc nisl.
Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.", $ 37.00 ,15%,4066,1698
59,Completed,12/20/2021 5:11:03,2/25/2021 19:52:08,10/13/2019 7:20:32,10/16/2019 7:20:32,10/18/2019 7:20:32,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.", $ 17.00 ,15%,2927,4991
60,Failed,10/17/2017 20:43:49,1/11/2018 14:57:09,4/16/2016 22:57:12,4/19/2016 22:57:12,4/21/2016 22:57:12,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat., $ 42.00 ,15%,1796,1605
61,Failed,3/9/2021 10:08:41,4/24/2020 21:58:34,6/26/2016 13:24:15,6/29/2016 13:24:15,7/1/2016 13:24:15,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.
Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.", $ 11.00 ,10%,9886,3212
62,Completed,7/19/2016 21:43:43,7/12/2017 11:36:05,12/16/2022 19:18:06,12/19/2022 19:18:06,12/21/2022 19:18:06,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh., $ 12.00 ,15%,9831,1610
63,Failed,6/13/2022 6:41:20,2/23/2021 1:05:13,7/10/2018 11:40:56,7/13/2018 11:40:56,7/15/2018 11:40:56,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.
Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.", $ 36.00 ,15%,9494,880
64,Completed,5/25/2022 13:23:15,12/10/2018 16:06:45,1/7/2022 4:37:29,1/10/2022 4:37:29,1/12/2022 4:37:29,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.", $ 26.00 ,7%,6601,2509
65,Completed,10/19/2019 3:43:23,1/1/2019 7:40:18,4/17/2017 2:54:29,4/20/2017 2:54:29,4/22/2017 2:54:29,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.
Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.", $ 15.00 ,7%,8150,2209
66,Completed,12/13/2019 7:11:57,1/13/2020 14:34:34,8/17/2017 12:43:23,8/20/2017 12:43:23,8/22/2017 12:43:23,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.
Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.", $ 15.00 ,15%,28,4355
67,Failed,8/15/2018 18:01:10,1/29/2021 10:13:16,7/5/2020 10:33:24,7/8/2020 10:33:24,7/10/2020 10:33:24,"Phasellus in felis. Donec semper sapien a libero. Nam dui.
Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.
Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.", $ 47.00 ,10%,3690,1372
