product_id,cart_id,quantity
2246,2776,12
850,7971,10
2653,735,20
1687,2696,10
989,8203,8
2466,3503,16
301,3417,6
414,8501,15
1355,2021,13
1371,2410,1
2188,1088,7
2482,4704,6
590,1859,10
209,4821,20
230,2160,7
169,9771,5
2651,9023,12
1178,4537,11
2606,3690,15
717,1301,17
1606,6472,19
1890,5706,6
1085,1445,16
2257,6445,5
691,8700,16
1425,3347,18
1239,101,20
564,2284,15
296,7753,6
2710,6667,14
1030,9435,13
410,2474,2
1199,3261,17
1460,9809,14
2425,3120,20
2958,395,2
1400,4702,6
833,9400,20
1315,9055,15
2423,7060,7
893,931,11
1472,2068,13
2134,4003,11
1350,4136,12
675,5416,6
950,7954,18
1126,807,15
1086,8545,18
1214,5612,13
606,8178,2
2251,3399,2
1549,5352,3
2503,1421,18
2532,5188,5
1234,3432,3
122,9881,15
697,782,5
2894,4998,3
225,2437,20
2411,8347,12
1150,103,14
1961,9391,11
2994,5159,20
778,8698,11
1485,3464,2
2088,4386,14
2497,2915,4
934,9776,19
2094,7293,20
2527,8457,13
2008,694,4
2469,7470,1
228,6581,20
1244,327,15
2910,8030,10
1998,1083,16
1502,4594,7
2992,1500,9
503,1681,19
2641,1785,14
371,520,20
629,3124,4
15,7604,3
1813,7741,2
1750,8515,2
2182,276,7
244,802,2
2740,7244,17
2560,7221,15
2314,9279,13
1974,4241,10
1833,2049,18
605,969,19
842,5313,16
1532,2225,15
945,7967,9
2687,2614,7
2517,8213,18
1480,9366,20
2657,8738,5
435,3229,20
694,4122,13
1597,3600,17
1075,2245,11
794,5727,17
565,9440,9
2888,593,1
219,5161,15
565,7893,1
1434,1374,7
1443,7283,16
1803,3328,20
857,5278,18
36,6341,11
1484,4360,15
1271,306,12
2661,5935,18
113,3423,8
967,993,6
108,5854,11
171,7079,19
2439,5163,2
1577,285,7
946,9399,15
2756,8414,6
1137,2068,18
1882,603,3
1582,946,13
856,8070,18
523,381,17
1849,6185,4
931,3362,12
1285,4913,15
839,4919,19
2788,247,9
1032,5456,13
1711,5296,8
35,49,17
148,5193,8
516,4862,6
264,3264,8
1333,2271,1
1420,7444,15
2495,3396,15
1423,662,17
546,7279,8
1653,8944,10
1565,5233,1
2465,7657,2
1134,2848,15
1901,3438,11
1597,40,3
2877,4772,1
1657,6483,10
94,3243,3
167,9017,8
1230,4669,12
732,3319,4
1545,1448,14
884,1708,20
53,5680,17
2697,5501,2
1471,5190,18
1504,5374,9
1272,9314,6
2114,8949,3
1526,8017,13
546,6758,5
1771,874,10
736,7256,15
1444,3180,9
2215,8144,19
601,5666,14
2927,5294,3
2478,5162,1
678,5764,15
265,3307,9
1513,7066,18
2332,3752,5
2280,8785,9
2444,9129,13
1752,3287,6
814,3520,14
976,1418,9
349,4801,12
1618,4248,20
401,1706,18
1198,8976,12
770,9930,14
1709,2637,16
2345,9182,14
2537,1141,10
649,2642,10
13,9139,6
887,2450,19
2995,2123,17
804,9899,4
360,894,6
1495,9407,16
2140,7927,20
2172,7691,17
1732,9183,1
1921,8014,4
1331,5533,19
1637,7108,18
2610,8076,5
1174,4930,6
186,7409,10
189,4817,9
1361,196,19
299,686,6
739,7512,14
822,5440,12
1087,9241,4
2115,9030,4
2180,1680,5
182,8995,8
618,1459,4
779,698,9
1769,6152,7
556,8659,10
1206,9878,3
2242,6074,12
421,2856,10
365,2869,3
1145,5762,19
2340,6926,6
1572,9046,9
1834,1051,12
892,1516,1
2363,4737,15
1294,1893,12
1001,4107,11
1334,8039,10
1583,2040,18
2183,5715,8
693,9204,18
659,7414,14
261,3566,1
2313,676,17
2532,3376,1
2783,8717,9
209,6052,4
1562,6982,1
1409,1998,8
533,734,8
983,9114,6
835,7877,17
260,6246,10
2731,423,6
1261,4697,16
133,8067,13
2285,8381,13
1010,58,9
2894,9323,3
77,1593,6
2073,4846,19
543,9173,18
558,1613,2
2382,4642,9
375,4994,14
2036,9661,5
785,7350,7
2848,4270,16
463,7602,15
2101,3682,17
1511,5749,17
2764,3633,19
2299,8215,9
710,4391,20
126,3540,7
2146,7931,9
1837,7862,12
687,8922,10
1244,7947,12
2968,2994,3
1987,7700,11
1172,1561,19
1236,5739,10
2532,199,8
861,4741,15
692,2567,2
1719,3151,2
301,7234,11
997,985,7
2909,4734,12
2963,632,8
1911,4134,18
1341,1994,3
1243,5452,8
1283,7186,6
1730,7943,7
762,1219,7
422,6762,4
1150,1320,9
2148,7395,7
2872,3258,18
1599,9686,20
833,9549,2
1854,1085,7
1900,2606,18
981,2002,4
2976,8811,3
653,8723,19
2269,4455,10
886,538,3
2526,6155,10
1830,5303,18
1450,611,1
1939,43,18
958,7639,17
2847,2258,14
2515,6702,9
1525,752,12
713,8494,7
37,8005,16
655,6519,10
1798,5874,2
1184,8294,4
157,2707,20
1727,5530,11
2446,8396,10
1550,8137,11
8,8481,5
670,8406,15
15,3840,17
80,1656,4
2943,6855,10
1379,4746,18
1909,1903,14
438,8031,16
888,9813,11
307,3087,10
1252,5286,10
2776,3148,15
2511,9436,13
1790,5749,20
543,8416,2
262,4539,12
2476,3838,16
1693,6132,12
1531,2274,5
2873,6775,2
1114,3875,2
1614,5623,3
1930,4088,9
1080,6668,17
600,5917,5
469,9495,14
521,2243,13
174,1766,16
587,897,7
825,9829,9
2830,7457,4
718,1423,1
369,8763,5
878,8846,19
911,1002,16
1681,7010,8
34,523,10
1456,7816,12
1880,9530,5
1445,6738,5
569,7106,20
898,5166,15
1585,3950,5
2933,970,16
2701,5456,11
1079,2366,18
2368,6719,20
658,5934,20
2246,7426,12
1256,7677,18
1072,7879,5
1468,7288,12
2947,6360,14
1770,6005,20
409,5250,2
1276,135,13
2233,9533,13
2972,7681,7
1479,8271,7
1989,8757,12
2969,2051,2
1063,286,6
1621,8181,10
254,7604,1
2163,9240,4
780,5371,17
868,9451,16
540,4877,4
1668,92,10
1131,6277,14
2140,8671,12
1422,1434,18
1239,3893,19
1570,4199,3
1805,7495,5
1735,669,18
832,5822,8
1199,7063,20
2562,5613,12
572,9539,5
1792,5010,1
1708,9849,20
1530,8261,17
866,6955,11
2516,298,17
1923,5590,1
1154,288,15
2473,3398,3
403,4795,20
1853,3404,18
1977,5436,19
1444,4801,13
2279,191,18
248,3676,1
416,5152,2
1257,4490,6
1111,5777,8
656,771,5
600,5980,4
1474,9304,4
1689,5109,10
1971,491,14
1850,8404,11
355,9866,14
991,5336,9
2446,2935,5
1722,2844,1
2533,440,9
1237,387,1
2022,1347,18
509,456,11
1917,808,7
1137,9368,16
2790,4108,4
1871,7355,9
453,1144,18
1564,5828,19
200,102,18
674,946,1
1397,1019,7
798,1862,17
528,7348,7
2323,6139,12
1165,5339,14
2661,3417,13
862,1015,15
2749,7423,19
2741,3280,19
2234,9625,3
1680,9721,1
809,9979,3
1030,1094,9
434,9503,18
2816,8352,6
2214,9342,8
1360,6037,16
540,3930,3
2319,1566,12
2108,4470,15
686,6617,10
1797,9477,4
1402,4585,2
221,3486,20
2817,3847,3
2471,3341,2
1302,6949,19
982,4881,2
2250,9269,16
2183,5431,4
1522,479,11
2178,9475,7
1925,8134,14
2060,4462,17
1470,4853,6
2684,82,5
410,302,19
2135,9818,17
2106,2922,3
2410,6466,9
669,7207,8
536,9889,17
691,3204,6
2979,2935,4
2734,511,2
2382,624,18
258,8778,15
1731,4701,14
157,6973,7
2833,5097,13
1860,279,9
422,7021,17
1238,4498,5
1537,6047,8
1087,5615,11
534,8014,2
1514,6301,6
1714,8545,20
2748,575,3
329,2093,10
1037,3745,20
335,9208,1
1965,2614,15
710,5947,3
424,3473,2
284,1735,13
2287,4712,14
681,3141,8
2622,1188,20
2059,5882,2
1698,7483,11
2515,6603,7
2727,2679,16
1424,8503,18
701,5438,15
1911,435,7
89,2483,20
2547,774,10
1881,7693,16
1207,3864,5
2285,1987,14
1419,5281,19
1570,4301,4
2286,448,13
1361,1674,5
2950,342,17
1402,6858,19
1052,5109,19
1023,6751,18
1811,6596,5
718,6073,13
1368,36,14
2228,1443,20
1127,2669,10
865,9586,6
2026,8069,13
1845,4876,4
255,2578,20
1546,474,9
1744,8749,11
2747,642,1
2337,7398,1
1420,607,8
2328,7948,11
1857,2921,11
2897,7698,10
1167,3294,20
10,6666,4
2325,4313,14
631,1239,8
1241,6516,12
509,8441,9
2070,4451,13
2567,2543,3
478,1449,10
711,7634,9
539,3866,10
91,7052,4
2658,929,17
2837,2791,8
2535,4603,15
2793,2833,9
2035,9081,20
714,292,16
1495,7644,13
1829,7012,18
1680,6399,13
230,3499,18
570,7311,11
439,2491,3
2353,4238,17
208,1768,16
2291,4539,1
382,2873,4
1409,8892,6
2826,1847,12
1539,4120,1
2467,9973,1
998,8224,20
1325,1419,2
899,5876,12
918,8826,12
1598,3147,5
2070,841,18
1344,6058,1
126,9659,13
1597,2179,10
1072,4515,8
2505,3246,5
408,4972,1
1332,9747,11
862,7719,19
2573,2486,17
1575,2534,6
1640,7970,10
1049,8235,19
1139,2496,20
2652,1907,19
1595,7221,18
1151,4660,13
996,3393,18
2725,2925,13
1680,2954,6
168,4868,14
1135,6560,14
2821,9430,7
1210,4983,3
1021,8820,20
2818,4068,16
1841,565,2
2326,684,14
339,9590,20
2740,2331,11
923,4890,14
1403,5452,19
150,5329,2
1909,3597,18
2150,9717,3
128,2135,20
1833,2714,9
2927,9276,9
2325,9161,13
1983,6150,13
1197,9379,15
2902,1137,1
1512,9637,4
232,4513,7
1788,8784,12
220,9970,11
263,781,14
2882,5114,20
1481,6052,1
2886,6399,12
1919,3125,16
1440,7223,12
1077,7405,20
2095,5276,20
1962,1227,20
1564,5436,16
29,8995,17
1088,3299,14
350,2421,15
18,7059,15
1503,3183,6
1254,9324,6
1788,6872,20
1528,7252,2
843,1595,8
1759,8216,3
1254,4205,6
2403,7200,11
24,4663,10
1845,2029,1
582,5598,9
2924,8002,8
2957,6778,20
176,6801,18
1704,7965,20
1661,7061,5
2490,4652,1
425,9312,5
67,8598,7
1011,4277,20
1651,4072,3
2458,5787,8
2980,4477,4
2315,2592,3
2098,6795,13
1231,3724,11
997,356,3
961,1077,10
1889,5051,2
1619,8737,10
1125,3669,19
1938,9083,17
525,5809,18
2067,688,15
1433,2333,8
1251,6807,3
828,817,10
1048,7187,6
2739,3618,8
600,1038,1
464,1234,17
1858,8029,20
1315,8343,3
644,4808,16
1996,7628,12
351,1119,19
2048,4944,19
2062,6213,2
1024,7100,6
695,8997,8
2221,2146,15
503,4777,17
1468,9320,20
229,5215,7
14,7353,17
1336,3360,10
1203,2394,10
2915,1492,1
965,257,11
1932,9866,5
1130,7657,11
2837,9839,17
29,7586,20
1968,5766,17
2411,9692,16
1528,8658,20
447,5484,18
990,7800,1
2881,4227,1
2803,8180,16
2454,543,6
2183,5151,1
1742,1859,18
1060,8571,1
1895,9192,13
977,6820,11
1353,38,19
833,3520,1
42,7823,7
752,2996,3
1478,9190,16
1600,3191,5
410,2817,6
1543,9788,6
2493,1423,11
605,3056,4
1016,458,18
2207,8867,2
1025,1873,1
2635,9295,16
463,1623,12
96,2256,11
97,3410,9
1359,7233,1
2334,5074,17
1767,7818,15
1248,5169,7
1959,6567,15
2741,6218,19
2785,2831,12
2132,4173,20
2396,6027,4
1412,5261,18
113,1424,7
935,7167,4
1726,559,3
1509,9837,13
1025,6657,10
1442,6705,19
391,6118,1
340,2395,17
2863,9534,19
1826,1533,19
1460,699,4
2371,1893,7
2333,5329,20
2174,6343,6
227,5415,14
2361,2674,10
2381,2303,12
457,96,12
562,6056,12
2105,810,2
954,9053,6
1013,5278,3
768,3865,10
1151,9624,20
287,4571,6
2750,2689,12
647,4056,5
1946,1650,14
2532,9394,7
69,7684,4
1762,1988,19
158,3843,9
795,7171,9
2090,4102,11
1750,9833,2
498,6526,20
1828,3408,1
1,1601,14
807,1100,18
1052,4219,3
1734,2223,3
339,545,13
2221,6423,3
163,8325,13
2210,2495,19
728,6193,16
1065,1652,8
43,7406,17
1890,1998,19
2005,496,10
858,8489,18
1731,745,2
1438,1784,6
1802,5534,3
145,8638,8
1606,4793,3
2041,3404,2
2536,7322,2
602,4778,19
1554,142,11
968,8372,14
1295,2536,6
362,5523,1
2885,8742,4
1784,2690,13
1447,3555,7
1830,6998,19
443,7216,1
782,9248,5
1783,9162,14
282,623,12
1804,2340,9
1051,7407,2
2748,9197,15
1079,5316,1
1189,9022,17
2493,2200,2
2773,1552,16
255,2392,16
1669,9429,15
924,5227,1
1887,8952,17
2742,3173,6
2367,4333,15
2206,5549,7
1659,1201,5
1351,2557,3
772,4168,13
2112,1668,6
1177,5755,9
1050,6600,18
2823,7842,1
400,5016,1
2038,5815,10
1907,8556,9
1297,1890,15
232,1307,2
414,489,11
1404,5754,8
1995,1237,9
2817,8546,15
2002,5980,19
2593,9202,14
535,5509,8
1739,9547,19
157,268,8
853,8841,14
2972,1630,16
2099,2406,9
1710,6279,3
1696,48,8
196,4234,19
1151,4505,11
1882,168,1
1295,1138,2
1938,366,13
2685,4391,5
1365,1988,3
2055,7372,19
1344,3844,11
1923,1106,17
1978,5794,16
686,4316,5
2421,7714,20
2194,2437,6
406,4983,6
823,2242,20
1230,296,18
2096,1929,9
1294,6566,9
1340,3731,16
465,1446,13
2310,9480,3
527,4992,20
2997,8605,20
55,905,15
1596,1901,15
1710,2095,3
112,3918,18
1672,9814,9
2901,7866,19
854,4830,7
1394,1839,2
2429,9870,7
1802,6390,18
936,6547,7
1028,4944,4
2725,1932,9
2872,9151,12
1363,730,2
1515,6718,10
2072,7389,18
1747,4780,12
520,8371,19
1667,4841,14
2820,1075,13
2003,7588,18
1391,1439,7
2466,6240,12
2016,4138,9
2085,4086,7
760,5276,18
1368,5813,19
155,8889,12
1760,8146,14
1827,2168,5
1885,5246,11
347,5354,7
1688,9692,5
1996,6827,9
2043,4389,13
1365,1048,10
830,2357,2
2316,2066,6
551,5301,6
1256,1294,14
2493,2777,15
2506,9570,12
188,8257,5
573,7323,10
2875,7832,3
570,6329,18
1109,9760,1
937,3319,20
2976,6495,9
1947,2041,7
2370,4928,16
2453,1621,13
756,9753,11
1631,6589,3
2095,473,9
598,7363,16
367,5487,12
2078,9559,15
1270,9969,9
2447,9955,13
1211,5171,19
664,5699,15
1191,76,13
621,9052,19
1485,5786,5
220,1175,11
83,4965,19
59,6889,1
1742,3417,9
2637,5574,20
1410,6314,12
2641,7216,10
804,4699,8
1663,3672,6
2826,7934,2
1857,3441,20
213,8461,5
1955,9191,3
2615,7335,18
2079,5064,3
2132,2722,10
1,9986,8
2882,1363,19
1599,1970,5
1387,1533,15
1913,404,5
585,9401,16
2398,779,19
2017,2066,20
1090,1939,12
2815,5587,5
634,6037,10
416,4822,3
1537,7692,15
1545,977,8
2120,1784,13
753,8864,18
2113,9668,6
284,7684,9
473,5769,13
2021,9580,16
1164,480,20
847,9611,1
2369,9441,4
2606,8627,15
2946,2620,2
1601,8599,8
2187,1709,2
2857,4449,8
848,9168,13
1239,591,14
2479,3443,13
635,7020,20
1815,9515,5
2255,3675,16
43,2686,6
318,2331,4
2433,2491,1
2899,8789,15
2932,7651,15
2222,531,3
2931,7146,15
446,4300,10
2509,5689,2
1766,6619,6
2880,8353,1
176,7653,8
2668,1644,8
2193,4097,18
1593,399,12
2446,869,13
552,8271,6
2939,115,20
191,6761,10
2715,1801,15
2531,4719,3
139,5268,4
2959,8388,4
347,9729,9
1870,6477,14
1033,2453,11
1019,5995,5
399,2138,8
385,1632,16
313,6964,20
2449,4071,13
2503,9341,3
1464,3819,10
698,4339,11
1798,5653,3
2303,4969,6
178,1801,9
2229,3411,20
509,7243,5
2715,3320,3
2695,9285,13
1954,9445,18
3000,2682,5
1572,9026,11
981,6258,17
2829,6317,20
2182,3282,16
2984,577,1
2746,4917,5
1763,7260,13
2832,9060,8
934,6884,12
1768,9090,19
1836,862,3
719,2536,6
1383,5226,9
1119,5932,20
2759,2736,1
1489,2232,15
254,9682,3
1490,2637,13
2672,3563,10
2176,7726,2
1350,1490,15
585,8933,2
2379,1026,14
2789,1953,6
1334,6612,18
1691,8197,9
2054,6607,14
1729,9254,13
471,1264,19
735,6178,2
2402,8159,15
778,9658,9
1883,3124,8
1713,6504,9
1151,5695,13
167,801,11
1557,4559,19
30,6449,8
1617,960,9
2658,9004,15
2339,4271,2
1264,4727,10
2906,983,9
2765,86,11
2573,5503,16
2014,5506,12
1148,2031,4
2108,8700,3
1982,2171,19
1864,9262,6
2907,3191,20
524,2189,1
731,9108,14
1075,1643,16
1656,8121,14
862,1281,1
519,8998,17
2467,6054,5
2928,9442,20
473,5294,7
1798,6484,3
1923,4354,16
2425,2708,3
110,3931,19
1073,9476,8
268,2731,12
2002,5910,2
1512,1262,15
2439,8714,6
1675,6613,9
1086,6102,11
1076,13,8
2265,9298,16
2485,9286,17
1654,6838,4
1999,5899,19
1141,2064,15
2211,3782,16
2453,8899,20
867,2426,4
813,8438,13
1630,6582,4
2669,2004,18
60,6304,18
1040,9745,13
1191,4647,10
745,7102,11
410,2420,16
2841,776,6
2563,4428,12
1502,7206,9
2317,5190,16
1699,7903,1
892,2596,7
2159,9734,3
99,11,11
833,4004,13
1347,3481,10
1217,4829,15
522,4549,16
1642,6042,8
2773,7442,2
2576,2250,7
1465,4620,2
2899,6247,15
2670,7745,1
1564,4064,19
2295,3551,19
1227,4579,9
1402,906,2
860,1593,4
969,7076,19
808,8344,8
1393,6913,2
2577,2869,11
1933,8053,11
2130,4717,13
1175,1260,5
20,1183,18
1764,6605,6
960,3238,5
1464,311,6
2799,6209,6
16,1612,13
532,8337,6
1947,5139,17
227,6690,2
1005,8957,13
228,6418,18
2253,6711,10
1016,7673,8
1260,370,3
1796,8102,17
2506,7039,6
425,5887,20
1051,4282,3
2363,3862,2
75,6759,4
2124,4029,17
1842,6713,5
1205,470,18
2527,9491,20
2033,8418,7
652,5898,18
390,6419,1
2421,7280,9
1486,4785,6
2156,9061,13
2059,6814,2
2408,9443,3
2995,3796,2
957,3591,11
1176,2084,1
2192,9227,12
914,1325,6
723,7699,3
2199,333,17
1151,8828,5
1163,8450,12
1935,7567,3
1107,105,12
950,3511,15
2140,2699,6
703,9013,3
765,8965,10
2175,9859,8
2757,5145,2
1546,1693,14
2567,3366,6
2960,1497,14
2400,7629,7
1251,3024,15
2740,6989,7
1730,8029,1
2416,595,7
1754,7162,6
2625,8005,1
1570,9394,7
2496,4807,17
651,1591,2
2592,502,1
1301,8342,14
1059,9583,11
2225,219,19
150,1691,20
1181,8329,8
2469,6046,1
2966,7186,17
1082,4491,17
2158,2777,18
2578,6418,13
2289,67,2
2259,4521,10
1857,4327,19
2745,9367,16
2659,4597,16
2028,1671,14
964,9497,13
94,7044,12
2526,5603,8
2791,8980,2
333,4992,6
2370,1588,18
401,471,3
2601,5795,3
73,6796,1
2273,7615,4
1036,2098,7
2248,7899,10
1965,2117,5
1724,2471,1
2029,8055,10
451,4630,9
1943,7318,13
956,7876,2
1265,1475,2
1373,1878,2
2888,1992,9
2816,5027,4
1377,7030,11
2728,301,20
2802,528,15
1089,143,15
954,2301,18
314,90,20
1413,7680,5
1035,9020,1
2432,822,5
1797,7181,6
1469,3963,15
713,7228,1
1563,8130,3
38,939,5
2442,9989,8
1995,7254,4
2043,6265,5
223,39,10
993,6262,12
1487,5111,1
246,5335,3
449,1496,6
431,6433,3
1815,6716,9
2136,3007,4
311,7638,19
2504,7481,9
2020,8691,18
2244,4061,3
2381,7176,4
2159,9914,16
1983,9138,9
1163,2540,12
287,9470,17
427,4706,1
1982,1428,15
2248,8419,13
403,5589,10
1370,1387,20
1660,8051,2
2230,9224,7
897,5834,17
967,3475,2
752,2203,16
1106,4573,16
2119,1011,4
1014,3283,13
1050,1904,5
1147,8216,19
16,3941,9
2515,8001,19
2104,5209,3
1946,7844,12
2400,8429,18
2664,2924,4
2204,5311,18
2337,7652,7
1550,5255,1
376,5723,13
1162,1207,10
2556,2455,15
722,8595,9
350,7703,15
383,3009,3
333,4999,4
2696,1752,1
976,4183,6
2636,941,14
1615,68,13
559,8045,6
1855,6284,14
1847,3583,18
332,9927,3
2384,1304,8
1440,733,15
74,4069,16
1118,5730,15
2501,516,18
2246,2573,2
2698,2536,5
2007,8614,5
2432,4872,14
2207,8093,1
2630,9398,13
74,2370,16
536,8716,3
171,1734,3
2135,6775,10
553,6844,4
748,709,18
1074,1251,4
1597,4756,1
2323,7476,16
677,7891,17
1187,9982,9
1263,5083,17
2677,1795,5
622,3277,16
1824,3728,6
696,7328,15
2068,8082,8
876,5126,1
1169,2443,9
2297,1639,3
2002,4891,3
926,7052,1
2348,3709,20
870,7763,11
1451,2709,10
896,838,7
549,5803,15
2819,2173,1
88,602,13
1770,7931,15
2897,3040,11
2077,3884,3
1267,1382,4
585,1400,20
1936,5043,10
1425,4804,8
1052,8589,1
937,7434,3
881,4621,15
1332,2310,18
2661,7350,2
2726,4334,3
1387,5979,12
1906,161,8
1486,9048,2
2139,7386,11
2363,6175,14
2991,8823,12
1386,6669,14
1412,33,11
2343,7895,7
820,7818,16
1146,3667,10
2918,5281,5
150,925,2
1021,788,4
1981,4245,17
606,6449,16
1036,3009,14
1088,8657,11
627,7056,10
2741,3029,4
1126,8169,15
1759,7457,13
1931,7501,12
348,5690,3
861,2039,11
1976,5193,15
987,6046,16
599,4269,10
249,9270,20
398,6466,6
1678,1274,11
2767,3975,17
20,7624,12
585,4453,19
31,6733,1
172,7954,5
337,7073,10
2205,7361,4
1056,103,18
844,8896,10
2440,9852,11
1727,466,3
1732,1650,7
2366,8394,4
574,9242,4
204,5455,17
491,6513,11
615,423,12
766,664,20
801,5954,15
1985,1960,3
1781,4466,15
362,8541,2
1836,1848,18
2057,6449,2
2232,4606,10
936,6387,17
1042,5260,14
1680,2033,3
1417,3167,12
2943,5550,5
2834,7931,10
238,5479,8
1081,1415,15
2630,145,10
1263,3126,12
2789,6311,8
682,5225,8
929,1847,1
2299,5187,8
968,1911,10
1876,661,18
609,8423,20
1969,6355,20
950,829,20
2503,2947,2
1648,4138,11
751,3615,10
300,5441,7
432,2453,7
733,8525,2
452,7946,11
748,4283,17
2107,3013,9
960,2361,5
1614,4594,15
1795,2483,3
2526,1122,18
171,6197,1
242,5770,16
2665,6022,5
1769,9401,6
942,7261,4
1417,6511,2
2464,1798,12
53,4071,8
2098,5163,18
1045,356,18
1415,854,12
599,4142,14
2592,5458,5
2683,3969,4
859,6566,3
2392,9489,4
892,2839,2
2026,8850,10
125,3038,9
2168,6103,7
1462,2493,1
259,3900,14
648,1530,2
2684,9372,18
608,8977,11
1058,4735,7
575,4357,20
2536,490,13
2870,6885,8
585,4397,19
1768,6337,7
2434,6806,5
1273,6501,10
327,5360,17
2475,3648,20
2983,4264,4
2082,686,4
2152,4595,7
1993,8724,20
2637,8945,20
2259,6291,4
2384,1870,19
473,7674,16
2512,5174,13
1636,4559,13
1134,6408,2
2507,3672,13
2361,9643,5
771,175,17
2546,8589,6
1379,5710,19
927,4590,7
698,7873,16
2946,1454,15
2825,7161,2
1458,8168,17
231,8882,16
2243,1439,6
800,2753,18
2041,6849,12
96,6827,17
229,8987,1
1147,5659,17
1853,2965,14
2080,4218,14
2692,7461,7
177,8707,1
1334,281,5
1456,6119,6
1500,3145,6
1989,4982,17
2576,1890,14
267,7223,4
2027,2,9
1907,3445,7
107,7648,18
567,2155,13
469,351,12
678,4657,8
2492,2883,2
1479,6563,3
1739,6653,5
2047,129,10
1948,6155,2
2899,8313,5
1762,175,5
2054,6416,19
1395,1501,10
1853,3919,7
2056,9494,10
784,1660,11
2062,9751,16
2912,5271,12
555,5480,14
2465,7953,10
2908,4286,9
1731,5628,16
2643,9722,1
663,7657,3
1790,8910,15
1563,1905,5
362,176,11
2893,5588,14
2369,9379,13
2715,2337,13
1723,1236,8
2269,1838,1
348,5582,1
2163,4757,17
964,5402,2
1817,1961,15
643,8359,2
1048,922,8
2509,241,20
1840,2181,11
625,3517,11
493,6598,6
244,7446,13
1125,7388,6
1531,5723,13
1121,5436,2
556,447,12
2014,8757,9
573,6649,5
815,7075,13
401,3244,3
2189,6017,2
2227,4979,5
1604,6342,20
1410,5937,2
2688,6625,4
2515,745,10
202,968,17
815,1750,10
2936,416,9
1989,2771,16
495,9787,10
1672,6261,6
2692,3640,18
1419,6008,16
1317,2047,12
2529,2031,20
1494,725,6
971,5002,9
117,1172,2
2353,845,3
1752,5605,18
955,824,9
562,3049,17
2128,1376,2
771,6997,1
891,1394,19
2830,9791,19
1136,2262,15
1952,3598,8
1889,9365,4
1238,4780,2
1477,9256,16
42,5883,16
1974,7422,12
986,3771,12
911,463,15
2656,901,1
1116,8228,7
123,9847,11
592,5455,4
2391,5263,7
349,5081,15
1421,7097,19
726,2514,15
1619,9386,3
1405,9808,18
1619,9031,1
1624,3190,1
1598,2981,10
2842,6420,19
2484,2959,6
1993,4921,5
734,7748,4
2657,2608,13
372,807,6
1705,532,16
2807,8307,17
1833,6299,5
1403,201,16
597,8112,6
641,6480,12
229,1173,1
11,7022,13
1161,5967,8
66,7257,20
628,3298,3
2510,2099,7
2271,5149,4
